"State","Year","obs","perc_job/ind","ind"
"1","1960","4252","0.71999580058893","1"
"1","1980","870","0.14731804950902","1"
"1","1990","2073","0.35102335245081","1"
"1","2000","1632","0.27634834114796","1"
"1","2010","232","0.0392848132024","1"
"1","2017","229","0.03877681992823","1"
"2","1960","54","0.00914387893504","1"
"2","1980","103","0.01744110241313","1"
"2","1990","628","0.10633992539272","1"
"2","2000","450","0.07619899112535","1"
"2","2010","50","0.00846655456948","1"
"2","2017","75","0.01269983185422","1"
"4","1960","1440","0.24383677160114","1"
"4","1980","662","0.11209718249997","1"
"4","1990","1885","0.31918910726955","1"
"4","2000","1362","0.23062894647274","1"
"4","2010","213","0.036067522466","1"
"4","2017","222","0.0375915022885","1"
"5","1960","4162","0.70475600236386","1"
"5","1980","1142","0.19337610636701","1"
"5","1990","2538","0.42976230994701","1"
"5","2000","2532","0.42874632339867","1"
"5","2010","375","0.06349915927113","1"
"5","2017","320","0.05418594924469","1"
"6","1960","11646","1.97202989032425","1"
"6","1980","6534","1.10640935114019","1"
"6","1990","20735","3.51108017996508","1"
"6","2000","14596","2.47155660992381","1"
"6","2010","3126","0.52932899168415","1"
"6","2017","3128","0.52966765386692","1"
"8","1960","2165","0.36660181285866","1"
"8","1980","951","0.16103386791158","1"
"8","1990","3099","0.52475705221662","1"
"8","2000","2388","0.40436264623856","1"
"8","2010","381","0.06451514581946","1"
"8","2017","421","0.07128838947505","1"
"9","1960","769","0.13021560927866","1"
"9","1980","289","0.04893668541161","1"
"9","1990","1067","0.18067627451279","1"
"9","2000","337","0.05706457779832","1"
"9","2010","64","0.01083718984893","1"
"9","2017","59","0.00999053439199","1"
"10","1960","400","0.06773243655587","1"
"10","1980","122","0.02065839314954","1"
"10","1990","376","0.06366849036252","1"
"10","2000","188","0.03183424518126","1"
"10","2010","37","0.00626525038141","1"
"10","2017","29","0.0049106016503","1"
"11","1960","46","0.00778923020392","1"
"11","1980","47","0.00795856129531","1"
"11","1990","140","0.02370635279455","1"
"11","2000","26","0.00440260837613","1"
"11","2010","13","0.00220130418806","1"
"11","2017","10","0.00169331091389","1"
"12","1960","4975","0.84242217966367","1"
"12","1980","2858","0.48394825919171","1"
"12","1990","8308","1.40680270726548","1"
"12","2000","4459","0.75504733650659","1"
"12","2010","730","0.12361169671446","1"
"12","2017","729","0.12344236562307","1"
"13","1960","5413","0.91658919769235","1"
"13","1980","1401","0.23723285903694","1"
"13","1990","3823","0.64735276238275","1"
"13","2000","2705","0.45804060220909","1"
"13","2010","377","0.06383782145391","1"
"13","2017","453","0.07670698439952","1"
"15","1960","674","0.11412915559664","1"
"15","1980","329","0.0557099290672","1"
"15","1990","804","0.1361421974773","1"
