race,Year,obs,%pp_race/year,ind
1,1950,73795,7.274155677,1
1,1960,226519,22.32853811,1
1,1970,32137,3.167823579,1
1,1980,167929,16.55317689,1
1,1990,205860,20.29212938,1
1,2000,140979,13.89664873,1
1,2010,27036,2.665005392,1
1,2015,1,0.00001,1
1,2017,1,0.00001,1
2,1950,16472,1.623685782,1
2,1960,44584,4.394755156,1
2,1970,4228,0.416764418,1
2,1980,13499,1.330629819,1
2,1990,13288,1.309831027,1
2,2000,6954,0.68547298,1
2,2010,931,0.091770973,1
2,2015,1,0.00001,1
2,2017,1,0.00001,1
3,1950,594,0.058552049,1
3,1960,1791,0.1765433,1
3,1970,255,0.025135981,1
3,1980,1663,0.163926023,1
3,1990,33,0.003252892,1
3,2000,2325,0.229181001,1
3,2010,376,0.03706325,1
3,2015,0,0.00001,1
3,2017,0,0.00001,1
4,1950,392,0.03864041,1
4,1960,2576,0.253922692,1
4,1970,436,0.042977598,1
4,1980,2520,0.248402633,1
4,1990,3120,0.307546117,1
4,2000,1972,0.194384918,1
4,2010,47,0.004632906,1
4,2015,1,0.00001,1
4,2017,1,0.00001,1
5,1950,161,0.015870168,1
5,1960,252,0.024840263,1
5,1970,35,0.003450037,1
5,1980,1024,0.100938213,1
5,1990,17911,1.765531572,1
5,2000,0,0.00001,1
5,2010,2054,0.20246786,1
5,2015,1,0.00001,1
5,2017,1,0.00001,1
6,1950,0,0.00001,1
6,1960,0,0.00001,1
6,1970,0,0.00001,1
6,1980,162,0.015968741,1
6,1990,492,0.048497657,1
6,2000,63,0.006210066,1
6,2010,17,0.001675732,1
6,2015,1,0.00001,1
6,2017,1,0.00001,1
1,1950,73795,7.274155677,2
1,1960,226519,22.32853811,2
1,1970,32137,3.167823579,2
1,1980,167929,16.55317689,2
1,1990,205860,20.29212938,2
1,2000,140979,13.89664873,2
1,2010,27036,2.665005392,2
1,2015,1,0.00001,2
1,2017,1,0.00001,2
2,1950,16472,1.623685782,2
2,1960,44584,4.394755156,2
2,1970,4228,0.416764418,2
2,1980,13499,1.330629819,2
2,1990,13288,1.309831027,2
2,2000,6954,0.68547298,2
2,2010,931,0.091770973,2
2,2015,1,0.00001,2
2,2017,1,0.00001,2
3,1950,594,0.058552049,2
3,1960,1791,0.1765433,2
3,1970,255,0.025135981,2
3,1980,1663,0.163926023,2
3,1990,33,0.003252892,2
3,2000,2325,0.229181001,2
3,2010,376,0.03706325,2
3,2015,1,0.00001,2
3,2017,1,0.00001,2
4,1950,392,0.03864041,2
4,1960,2576,0.253922692,2
4,1970,436,0.042977598,2
4,1980,2520,0.248402633,2
4,1990,3120,0.307546117,2
4,2000,1972,0.194384918,2
4,2010,47,0.004632906,2
4,2015,1,0.00001,2
4,2017,1,0.00001,2
5,1950,161,0.015870168,2
5,1960,252,0.024840263,2
5,1970,35,0.003450037,2
5,1980,1024,0.100938213,2
5,1990,17911,1.765531572,2
5,2010,2054,0.20246786,2
6,1980,162,0.015968741,2
6,1990,492,0.048497657,2
6,2000,63,0.006210066,2
6,2010,17,0.001675732,2
6,2015,1,0.00001,2
6,2017,1,0.00001,2
1,1950,38045,2.800581243,3
1,1960,270494,19.91169464,3
1,1970,59680,4.393184087,3
1,1980,219949,16.19095923,3
1,1990,281872,20.74925578,3
1,2000,184298,13.56660591,3
1,2010,38060,2.801685428,3
1,2015,1,0.00001,3
1,2017,1,0.00001,3
2,1950,16329,1.2020158,3
2,1960,99976,7.359466693,3
2,1970,15392,1.133041043,3
2,1980,24182,1.780093458,3
2,1990,34912,2.569953801,3
2,2000,21940,1.615054606,3
2,2010,4015,0.295553521,3
2,2015,1,0.00001,3
2,2017,1,0.00001,3
3,1950,81,0.005962599,3
3,1960,819,0.060288501,3
3,1970,286,0.021053127,3
3,1980,1411,0.103867003,3
3,1990,13,0.00095696,3
3,2000,1868,0.13750784,3
3,2010,377,0.02775185,3
3,2015,1,0.00001,3
3,2017,1,0.00001,3
4,1950,298,0.021936476,3
4,1960,2505,0.184398896,3
4,1970,685,0.050424449,3
4,1980,3606,0.265446076,3
4,1990,7809,0.574838715,3
4,2000,10353,0.762108493,3
4,2010,189,0.013912731,3
4,2015,1,0.00001,3
4,2017,1,0.00001,3
5,1950,11,0.000809736,3
5,1960,359,0.026426828,3
5,1970,91,0.006698722,3
5,1980,827,0.0608774,3
5,1990,13912,1.024094789,3
5,2000,4,0.000294449,3
5,2010,2162,0.159149866,3
5,2015,1,0.00001,3
5,2017,1,0.00001,3
6,1950,1,0.00001,3
6,1960,1,0.00001,3
6,1970,1,0.00001,3
6,1980,442,0.032536652,3
6,1990,1074,0.079059647,3
6,2000,127,0.009348766,3
6,2010,15,0.001104185,3
6,2015,1,0.00001,4
6,2017,1,0.00001,4
1,1950,41952,0.965845465,4
1,1960,458438,10.55444945,4
1,1970,154371,3.55402675,4
1,1980,1030398,23.72247414,4
1,1990,1336216,30.76320947,4
1,2000,559764,12.88724067,4
1,2010,145869,3.358288332,4
1,2015,1,0.00001,4
1,2017,1,0.00001,4
2,1950,4327,0.099618929,4
2,1960,41886,0.964325971,4
2,1970,16268,0.37453218,4
2,1980,143662,3.307477383,4
2,1990,161571,3.719789702,4
2,2000,67099,1.544795596,4
2,2010,16362,0.376696308,4
2,2015,1,0.00001,4
2,2017,1,0.00001,4
3,1950,71,0.001634607,4
3,1960,873,0.020098758,4
3,1970,471,0.01084366,4
3,1980,6936,0.159684977,4
3,1990,147,0.003384327,4
3,2000,4669,0.10749267,4
3,2010,1217,0.028018543,4
3,2015,1,0.00001,4
3,2017,1,0.00001,4
4,1950,104,0.002394354,4
4,1960,2867,0.066005886,4
4,1970,1624,0.037388755,4
4,1980,20127,0.463376518,4
4,1990,37943,0.873547732,4
4,2000,30585,0.704147205,4
4,2010,3398,0.078230904,4
4,2015,1,0.00001,4
4,2017,1,0.00001,4
5,1950,5,0.000115113,4
5,1960,588,0.013537308,4
5,1970,190,0.0043743,4
5,1980,3070,0.070679481,4
5,1990,32537,0.749087383,4
5,2000,16,0.000368362,4
5,2010,6353,0.146262782,4
5,2015,1,0.00001,4
5,2017,1,0.00001,4
6,1950,1,0.00001,4
6,1960,1,0.00001,4
6,1970,1,0.00001,4
6,1980,3626,0.083480064,4
6,1990,7477,0.172140221,4
6,2000,401,0.009232075,4
6,2010,74,0.001703675,4
6,2015,1,0.00001,4
6,2017,1,0.00001,4
1,1950,26225,1.853793154,5
1,1960,235468,16.64476516,5
