"sex","Year","obs","perc/ind","ind"
"F","1950","9671","0.89647149339303","1"
"F","1960","49315","4.57134646848074","1"
"F","1970","6581","0.61003814476471","1"
"F","1980","44731","4.14642398624378","1"
"F","1990","57034","5.28687365879206","1"
"F","2000","37049","3.43432658036587","1"
"F","2010","6848","0.63478821081123","1"
"F","2017","7100","0.65814782370908","1"
"M","1950","81743","7.57732078217624","1"
"M","1960","226407","20.9872217355636","1"
"M","1970","30510","2.82818170441746","1"
"M","1980","150978","13.9951890321055","1"
"M","1990","186266","17.2662764128162","1"
"M","2000","137804","12.7740003800571","1"
"M","2010","24317","2.25410994776531","1"
"M","2017","22431","2.0792836385378","1"
"F","1950","42943","0.72346302644515","2"
"F","1960","396773","6.68445603222235","2"
"F","1970","86878","1.46363833014699","2"
"F","1980","486638","8.19841651172993","2"
"F","1990","465501","7.84232033796537","2"
"F","2000","398781","6.71828491602417","2"
"F","2010","58427","0.98432280572179","2"
"F","2015","55413","0.93354578591168","2"
"F","2017","55359","0.93263604501263","2"
"M","1950","137672","2.31936757508226","2"
"M","1960","742734","12.512879572543","2"
"M","1970","154994","2.61119223903408","2"
"M","1980","876804","14.7715640602477","2"
"M","1990","816143","13.749604936591","2"
"M","2000","767853","12.9360607140859","2"
"M","2010","132115","2.22574849774822","2"
"M","2015","130013","2.19033599089989","2"
"M","2017","130715","2.20216262258758","2"
"F","1950","27874","1.87030268789751","3"
"F","1960","240766","16.1550296675874","3"
"F","1970","47551","3.19059923628524","3"
"F","1980","98422","6.60396538524249","3"
"F","1990","138217","9.27414890626142","3"
"F","2000","97360","6.53270681257452","3"
"F","2010","21766","1.46046524735514","3"
"F","2015","22048","1.47938701523873","3"
"F","2017","23368","1.56795699256616","3"
"M","1950","26890","1.80427779570797","3"
"M","1960","133387","8.95006330740425","3"
"M","1970","28583","1.91787550147717","3"
"M","1980","156664","10.5119143394122","3"
"M","1990","203876","13.6797671951565","3"
"M","2000","141489","9.49369509248517","3"
"M","2010","27299","1.83172106898594","3"
"M","2015","27323","1.83333143221008","3"
"M","2017","27464","1.84279231615187","3"
"F","1950","25197","0.52017755030375","4"
"F","1960","338647","6.99117223787413","4"
"F","1970","118006","2.43616589281043","4"
"F","1980","845429","17.453394696819","4"
"F","1990","1120901","23.1403554515627","4"
"F","2000","332401","6.86222716587361","4"
"F","2010","81243","1.67721493508464","4"
"F","2015","87889","1.81441777666573","4"
"F","2017","91814","1.89544714067502","4"
"M","1950","21262","0.43894174205494","4"
"M","1960","166005","3.4270775980543","4"
"M","1970","54918","1.13375047456369","4"
"M","1980","377223","7.78755153622384","4"
"M","1990","466204","9.62451302384451","4"
"M","2000","380533","7.85588457950301","4"
"M","2010","103325","2.13308510477974","4"
"M","2015","113629","2.3458052491751","4"
"M","2017","119297","2.4628178441317","4"
"F","1950","6169","0.38007422814557","5"
"F","1960","69275","4.26805676038011","5"
"F","1970","16644","1.02544260872993","5"
"F","1980","137744","8.48645558140452","5"
"F","1990","144835","8.92333454911084","5"
"F","2000","174205","10.7328304286108","5"
"F","2010","41993","2.58720328457079","5"
"F","2015","40288","2.48215764362604","5"
"F","2017","40833","2.5157352825204","5"
"M","1950","22398","1.37994854303852","5"
"M","1960","188298","11.6011050431765","5"
"M","1970","27396","1.68787705532116","5"
"M","1980","181458","11.1796902724655","5"
"M","1990","185923","11.454780470013","5"
"M","2000","200839","12.3737603998265","5"
"M","2010","48376","2.98046212688774","5"
"M","2015","47342","2.91675702850833","5"
"M","2017","49088","3.0243286936635","5"
