sex,Year,obs,perc/ind,ind
F,1950,9671,0.896471493,1
F,1960,49315,4.571346468,1
F,1970,6581,0.610038145,1
F,1980,44731,4.146423986,1
F,1990,57034,5.286873659,1
F,2000,37049,3.43432658,1
F,2010,6848,0.634788211,1
F,2015,1,0.00001,1
F,2017,7100,0.658147824,1
M,1950,81743,7.577320782,1
M,1960,226407,20.98722174,1
M,1970,30510,2.828181704,1
M,1980,150978,13.99518903,1
M,1990,186266,17.26627641,1
M,2000,137804,12.77400038,1
M,2010,24317,2.254109948,1
M,2015,1,0.00001,1
M,2017,22431,2.079283639,1
F,1950,42943,0.723463026,2
F,1960,396773,6.684456032,2
F,1970,86878,1.46363833,2
F,1980,486638,8.198416512,2
F,1990,465501,7.842320338,2
F,2000,398781,6.718284916,2
F,2010,58427,0.984322806,2
F,2015,55413,0.933545786,2
F,2017,55359,0.932636045,2
M,1950,137672,2.319367575,2
M,1960,742734,12.51287957,2
M,1970,154994,2.611192239,2
M,1980,876804,14.77156406,2
M,1990,816143,13.74960494,2
M,2000,767853,12.93606071,2
M,2010,132115,2.225748498,2
M,2015,130013,2.190335991,2
M,2017,130715,2.202162623,2
F,1950,27874,1.870302688,3
F,1960,240766,16.15502967,3
F,1970,47551,3.190599236,3
F,1980,98422,6.603965385,3
F,1990,138217,9.274148906,3
F,2000,97360,6.532706813,3
F,2010,21766,1.460465247,3
F,2015,22048,1.479387015,3
F,2017,23368,1.567956993,3
M,1950,26890,1.804277796,3
M,1960,133387,8.950063307,3
M,1970,28583,1.917875501,3
M,1980,156664,10.51191434,3
M,1990,203876,13.6797672,3
M,2000,141489,9.493695092,3
M,2010,27299,1.831721069,3
M,2015,27323,1.833331432,3
M,2017,27464,1.842792316,3
F,1950,25197,0.52017755,4
F,1960,338647,6.991172238,4
F,1970,118006,2.436165893,4
F,1980,845429,17.4533947,4
F,1990,1120901,23.14035545,4
F,2000,332401,6.862227166,4
F,2010,81243,1.677214935,4
F,2015,87889,1.814417777,4
F,2017,91814,1.895447141,4
M,1950,21262,0.438941742,4
M,1960,166005,3.427077598,4
M,1970,54918,1.133750475,4
M,1980,377223,7.787551536,4
M,1990,466204,9.624513024,4
M,2000,380533,7.85588458,4
M,2010,103325,2.133085105,4
M,2015,113629,2.345805249,4
M,2017,119297,2.462817844,4
F,1950,6169,0.380074228,5
F,1960,69275,4.26805676,5
F,1970,16644,1.025442609,5
F,1980,137744,8.486455581,5
F,1990,144835,8.923334549,5
F,2000,174205,10.73283043,5
F,2010,41993,2.587203285,5
F,2015,40288,2.482157644,5
F,2017,40833,2.515735283,5
M,1950,22398,1.379948543,5
M,1960,188298,11.60110504,5
M,1970,27396,1.687877055,5
M,1980,181458,11.17969027,5
M,1990,185923,11.45478047,5
M,2000,200839,12.3737604,5
M,2010,48376,2.980462127,5
M,2015,47342,2.916757029,5
M,2017,49088,3.024328694,5
