"State","industry","obs","per_USA"
"1","1","9288","0.09994063603692"
"1","2","65164","0.70117696024013"
"1","3","13793","0.14841528777533"
"1","4","39247","0.42230514023915"
"1","5","17705","0.19050914739812"
"2","1","1360","0.01463385712857"
"2","2","2004","0.02156341888652"
"2","3","1331","0.01432181164568"
"2","4","5692","0.06124699615872"
"2","5","6812","0.07329840791166"
"4","1","5784","0.06223693355271"
"4","2","32071","0.34509002350778"
"4","3","12606","0.13564294335502"
"4","4","44298","0.47665485520713"
"4","5","18530","0.19938630337685"
"5","1","11069","0.11910453276192"
"5","2","39334","0.42324127668782"
"5","3","7420","0.07984060286326"
"5","4","21188","0.22798688591197"
"5","5","7848","0.08444596378314"
"6","1","59765","0.64308269947749"
"6","2","363717","3.91366368620189"
"6","3","109647","1.17982245042431"
"6","4","367984","3.9595774129428"
"6","5","122208","1.31498118527141"
"8","1","9405","0.10119957815754"
"8","2","33183","0.3570553537482"
"8","3","13317","0.14329343778033"
"8","4","50948","0.54821011249024"
"8","5","17807","0.19160668668277"
"9","1","2585","0.02781508873336"
"9","2","64572","0.69480692831357"
"9","3","11014","0.11851272236334"
"9","4","45433","0.48886766979605"
"9","5","11283","0.12140721322186"
"10","1","1152","0.01239573780302"
"10","2","11230","0.12083692320141"
"10","3","2243","0.02413510407308"
"10","4","8793","0.09461434244968"
"10","5","3302","0.03553014429305"
"11","1","282","0.00303437331636"
"11","2","5054","0.05438199553516"
"11","3","5282","0.05683531864201"
"11","4","28733","0.30917251240838"
"11","5","37181","0.40007458963059"
"12","1","22059","0.2373590105877"
"12","2","88747","0.95493449896309"
"12","3","49223","0.52964878635289"
"12","4","153108","1.64747102738392"
"12","5","56328","0.60609992966064"
"13","1","14172","0.15249339943102"
"13","2","103358","1.1121516213937"
"13","3","25191","0.27105992273969"
"13","4","76643","0.82469317051876"
"13","5","33882","0.36457672590473"
"15","1","2746","0.02954747917284"
"15","2","5400","0.0581050209517"
"15","3","3454","0.03716569303095"
"15","4","12278","0.13211360134166"
"15","5","9551","0.10277056576105"
"16","1","7614","0.0819280795419"
"16","2","10962","0.11795319253195"
"16","3","3385","0.03642323998546"
"16","4","10982","0.11816839631325"
"16","5","4706","0.0506374497405"
"17","1","22220","0.23909140102718"
"17","2","204778","2.20344999637919"
"17","3","40979","0.44094178769996"
"17","4","145640","1.56711393544553"
"17","5","40735","0.43831630156807"
"18","1","12262","0.13194143831662"
"18","2","129774","1.39639277573818"
"18","3","17573","0.18908880244153"
"18","4","60146","0.64718233151131"
"18","5","16559","0.17817797072948"
"19","1","22138","0.23820906552384"
"19","2","47206","0.50794548500852"
"19","3","9398","0.10112425683409"
"19","4","34507","0.37130184407044"
"19","5","8028","0.08638279781486"
"20","1","13922","0.14980335216474"
"20","2","34549","0.37175377201117"
"20","3","8168","0.08788922428398"
"20","4","30669","0.33000423843847"
"20","5","11048","0.11887856879155"
"21","1","12081","0.12999384409583"
"21","2","52746","0.56755693242934"
"21","3","11065","0.11906149200566"
"21","4","35973","0.38707628123992"
"21","5","14363","0.15454859554246"
"22","1","8232","0.08857787638415"
"22","2","35493","0.38191139048866"
"22","3","14553","0.15659303146483"
"22","4","43280","0.46570098273882"
"22","5","16848","0.18128766536931"
"23","1","3546","0.03815563042495"
"23","2","19654","0.21148075588606"
"23","3","3536","0.03804802853429"
"23","4","13719","0.14761903378451"
"23","5","5319","0.05723344563742"
"24","1","5254","0.05653403334819"
"24","2","44212","0.47572947894752"
"24","3","16859","0.18140602744902"
"24","4","66204","0.71236755686786"
"24","5","37577","0.40433562450039"
"25","1","4254","0.04577384428306"
"25","2","107426","1.15592407051065"
"25","3","22110","0.23790778023002"
"25","4","101267","1.08965206605852"
"25","5","25672","0.27623557368001"
"26","1","14673","0.15788425415265"
"26","2","192346","2.0696793259215"
"26","3","29339","0.31569318698184"
"26","4","103956","1.11858621445465"
"26","5","28448","0.30610585852481"
"27","1","25670","0.27621405330188"
"27","2","72606","0.78125428726283"
"27","3","14981","0.16119839238471"
"27","4","58095","0.62511318373872"
"27","5","14323","0.15411818797985"
"28","1","10541","0.11342315293553"
"28","2","38780","0.41728013194574"
"28","3","8130","0.0874803370995"
"28","4","22751","0.24480506142077"
"28","5","9855","0.10604166323685"
"29","1","17582","0.18918564414311"
"29","2","80974","0.87129554935983"
"29","3","18056","0.19428597375998"
"29","4","60200","0.64776338172082"
"29","5","21504","0.23138710565655"
"30","1","7234","0.07783920769715"
"30","2","4525","0.04868985551971"
"30","3","2504","0.02694351341908"
"30","4","9375","0.10087677248559"
"30","5","4289","0.04615045090034"
"31","1","15667","0.16857988208339"
"31","2","18404","0.19803051955465"
"31","3","5817","0.06259201979186"
"31","4","19496","0.20978064601377"
"31","5","6482","0.06974754552017"
"32","1","1402","0.01508578506931"
"32","2","6541","0.07038239667501"
"32","3","5073","0.0545864391274"
"32","4","14268","0.15352637758127"
"32","5","6769","0.07283571978186"
"33","1","1417","0.01524718790528"
"33","2","19444","0.20922111618238"
"33","3","3448","0.03710113189656"
"33","4","13486","0.14511190973234"
"33","5","3816","0.04106088147253"
"34","1","5046","0.05429591402264"
"34","2","121090","1.30295129389659"
"34","3","28206","0.30350189277105"
"34","4","100318","1.07944064663571"
"34","5","31963","0.34392792308875"
"35","1","3891","0.04186789565242"
"35","2","7442","0.08007732702269"
"35","3","5359","0.05766385320003"
"35","4","18417","0.19817040201249"
"35","5","10643","0.11452069222017"
"36","1","19414","0.20889831051043"
"36","2","254141","2.73460520920121"
"36","3","73197","0.78761355900032"
"36","4","265977","2.86196280697608"
"36","5","79100","0.85113095505178"
"37","1","19066","0.20515376471576"
"37","2","138708","1.49252430484605"
"37","3","23166","0.2492705398828"
"37","4","76822","0.82661924436141"
"37","5","26262","0.28258408522844"
"38","1","8162","0.08782466314959"
"38","2","3855","0.04148052884607"
"38","3","1991","0.02142353642867"
"38","4","7919","0.08520993720676"
"38","5","2861","0.03078490091533"
"39","1","15228","0.1638561590838"
"39","2","229534","2.46982923687555"
"39","3","35281","0.37963023040685"
"39","4","127938","1.3766370686146"
"39","5","35948","0.38680727651329"
"40","1","10591","0.11396116238879"
"40","2","31358","0.33741800870434"
"40","3","10746","0.11562899169388"
"40","4","33261","0.35789464849528"
"40","5","16789","0.18065281421446"
"41","1","11122","0.11967482278237"
"41","2","41099","0.44223301038777"
"41","3","9468","0.10187747006865"
"41","4","35837","0.38561289552706"
"41","5","11854","0.12755128117805"
"42","1","18125","0.19502842680548"
"42","2","226071","2.43256670214301"
"42","3","40416","0.43488380125629"
"42","4","142263","1.53077677697259"
"42","5","41229","0.44363183496624"
"44","1","634","0.00682195986729"
"44","2","17757","0.19106867722951"
"44","3","3058","0.03290465816116"
"44","4","12700","0.13665440112715"
"44","5","4844","0.05212235583148"
"45","1","7674","0.0825736908858"
"45","2","65668","0.70660009552895"
"45","3","11538","0.12415106143347"
"45","4","34632","0.37264686770358"
"45","5","14982","0.16120915257377"
"46","1","9445","0.10162998572015"
"46","2","6275","0.06752018638369"
