"race","Year","obs","%pp_race/year"
"1","1950","345231","0.80591834576535"
"1","1960","2250184","5.25290187424554"
"1","1970","504983","1.17884855067947"
"1","1980","9451623","22.0641726060456"
"1","1990","10270311","23.9753441945123"
"1","2000","10772654","25.1480298443143"
"1","2010","2377629","5.55041357967195"
"2","1950","54318","0.12680168555338"
"2","1960","279619","0.65275158350368"
"2","1970","60168","0.14045811363408"
"2","1980","1333966","3.11405311813604"
"2","1990","1303446","3.04280624890135"
"2","2000","1569876","3.66476900677148"
"2","2010","319008","0.74470253148156"
"3","1950","1000","0.00233443215054"
"3","1960","5534","0.01291874752112"
"3","1970","1864","0.00435138152861"
"3","1980","76984","0.17971392467767"
"3","1990","1069","0.00249550796893"
"3","2000","141711","0.3308147144861"
"3","2010","30623","0.07148731574618"
"4","1950","1064","0.00248383580818"
"4","1960","13825","0.0322735244813"
"4","1970","4429","0.01033919999477"
"4","1980","169209","0.39500692976183"
"4","1990","307435","0.71768614820329"
"4","2000","465945","1.08771698838643"
"4","2010","26348","0.0615076183026"
"5","1950","206","0.00048089302301"
"5","1960","2445","0.00570768660808"
"5","1970","617","0.00144034463688"
"5","1980","40485","0.09450948561487"
"5","1990","468694","1.09413434236828"
"5","2000","349","0.00081471682054"
"5","2010","111688","0.26072805803024"
"6","1980","19781","0.04617740236996"
"6","1990","42486","0.09918068434812"
"6","2000","8466","0.01976330258652"
"6","2010","1697","0.00396153135947"
