"sex","Year","obs","Percent of Total Frequency"
"F","1950","111854","0.74709213884796"
"F","1960","1094776","7.31219753785671"
"F","1970","275660","1.84118063721307"
"F","1980","1612964","10.7732644755196"
"F","1990","1926488","12.8673452928366"
"F","2000","1039796","6.94497664460424"
"F","2010","210277","1.40447631448615"
"F","2015","205638","1.37349163416971"
"F","2017","218474","1.45922548985884"
"M","1950","289965","1.93672619701621"
"M","1960","1456831","9.73042526624015"
"M","1970","296401","1.97971334996224"
"M","1980","1743127","11.6426455800744"
"M","1990","1858412","12.412653959096"
"M","2000","1628518","10.87715232153"
"M","2010","335432","2.24040812414444"
"M","2015","318307","2.12602729844512"
"M","2017","348995","2.33099773809829"
